,state,2019
0,Illinois,336647
1,Georgia,344309
2,Idaho,61935
3,Hawaii,33488
4,Indiana,139069
5,Iowa,91511
6,Kansas,74108
7,Kentucky,84882
8,Louisiana,79673
9,Maine,42015
10,Maryland,169488
11,Massachusetts,197999
12,Michigan,210233
13,Minnesota,190795
14,Connecticut,100192
15,Florida,688324
16,Alabama,72440
17,Alaska,15141
18,Arizona,248326
19,Arkansas,46196
20,California,1188387
21,Colorado,274765
22,Delaware,23953
23,District of Columbia,28402
24,Mississippi,38426
25,Missouri,147564
26,Montana,33592
27,Nebraska,46436
28,Nevada,71251
29,New Hampshire,53022
30,New Jersey,217410
31,New Mexico,46093
32,New York,452559
33,North Carolina,331256
34,North Dakota,14593
35,Ohio,256463
36,Oklahoma,78947
37,Oregon,146587
38,Pennsylvania,333528
39,Rhode Island,24228
40,South Carolina,120845
41,South Dakota,27394
42,Tennessee,179262
43,Texas,783512
44,Vermont,22809
45,Utah,117657
46,Virginia,247137
47,Washington,242446
48,West Virginia,28665
49,Wisconsin,150833
50,Wyoming,16007
51,Puerto Rico,24892
