,state,2018
0,Colorado,2220259
1,Indiana,2631206
2,Kentucky,1618938
3,Louisiana,1650009
4,Illinois,4500138
5,Iowa,1295893
6,New Hampshire,576686
7,Arkansas,1075012
8,Delaware,360283
9,Minnesota,2270810
10,Montana,385558
11,Maine,518327
12,North Carolina,3918502
13,Georgia,3881953
14,Alaska,241624
15,Alabama,1784690
16,Vermont,244457
17,Nevada,1116771
18,West Virginia,605626
19,Oklahoma,1466424
20,Wisconsin,2415610
21,Puerto Rico,825434
22,Virginia,3235570
23,North Dakota,327555
24,South Carolina,1876078
25,Oregon,1431100
26,Wyoming,215701
27,California,13681331
28,Mississippi,1040672
29,Connecticut,1396984
30,Texas,10764273
31,Maryland,2279787
32,Florida,7596575
33,Massachusetts,2482764
34,District of Columbia,129349
35,Utah,1146991
36,New York,4940096
37,New Jersey,3115777
38,Ohio,4550274
39,Missouri,2377360
40,Pennsylvania,4637243
41,Michigan,3784352
42,Nebraska,809453
43,Idaho,633347
44,New Mexico,694145
45,Hawaii,476117
46,South Dakota,363161
47,Washington,2597102
48,Rhode Island,422704
49,Arizona,2417249
50,Tennessee,2569224
51,Kansas,1176517
