,state,2019
0,Illinois,598757
1,Georgia,98285
2,Idaho,6457
3,Hawaii,37672
4,Indiana,29628
5,Iowa,17810
6,Kansas,7225
7,Kentucky,19494
8,Louisiana,23798
9,Maine,4257
10,Maryland,246926
11,Massachusetts,379177
12,Michigan,65264
13,Minnesota,100645
14,Connecticut,81154
15,Florida,156860
16,Alabama,8867
17,Alaska,3373
18,Arizona,55020
19,Arkansas,5291
20,California,970901
21,Colorado,96147
22,Delaware,10923
23,District of Columbia,131786
24,Mississippi,3037
25,Missouri,33420
26,Montana,4758
27,Nebraska,8159
28,Nevada,44780
29,New Hampshire,6327
30,New Jersey,510746
31,New Mexico,9567
32,New York,2615708
33,North Carolina,55608
34,North Dakota,2870
35,Ohio,83924
36,Oklahoma,7609
37,Oregon,93903
38,Pennsylvania,353582
39,Rhode Island,16475
40,South Carolina,13837
41,South Dakota,1578
42,Tennessee,19604
43,Texas,182144
44,Vermont,5324
45,Utah,39112
46,Virginia,186834
47,Washington,264698
48,West Virginia,5773
49,Wisconsin,50099
50,Wyoming,3251
51,Puerto Rico,12130
