,state,2018
0,Colorado,253437
1,Indiana,282715
2,Kentucky,183996
3,Louisiana,179514
4,Illinois,510939
5,Iowa,129016
6,New Hampshire,53106
7,Arkansas,135838
8,Delaware,41270
9,Minnesota,245484
10,Montana,48660
11,Maine,65824
12,North Carolina,452538
13,Georgia,460590
14,Alaska,43608
15,Alabama,162698
16,Vermont,29202
17,Nevada,149253
18,West Virginia,62368
19,Oklahoma,169332
20,Wisconsin,222219
21,Puerto Rico,77865
22,Virginia,384725
23,North Dakota,34811
24,South Carolina,217339
25,Oregon,189107
26,Wyoming,28889
27,California,1854318
28,Mississippi,108124
29,Connecticut,146099
30,Texas,1301251
31,Maryland,270693
32,Florida,899569
33,Massachusetts,264744
34,District of Columbia,19352
35,Utah,168587
36,New York,586563
37,New Jersey,360215
38,Ohio,454572
39,Missouri,243718
40,Pennsylvania,518838
41,Michigan,412152
42,Nebraska,85937
43,Idaho,71019
44,New Mexico,97608
45,Hawaii,104144
46,South Dakota,39397
47,Washington,357163
48,Rhode Island,42327
49,Arizona,348622
50,Tennessee,277378
51,Kansas,133441
