,state,2019
0,Illinois,6204747
1,Georgia,4958285
2,Idaho,839211
3,Hawaii,702060
4,Indiana,3227470
5,Iowa,1589421
6,Kansas,1448010
7,Kentucky,1973550
8,Louisiana,2024266
9,Maine,668174
10,Maryland,3074208
11,Massachusetts,3637191
12,Michigan,4662155
13,Minnesota,2958990
14,Connecticut,1796247
15,Florida,9857575
16,Alabama,2134022
17,Alaska,349811
18,Arizona,3276420
19,Arkansas,1313514
20,California,18730251
21,Colorado,3011612
22,Delaware,463907
23,District of Columbia,385878
24,Mississippi,1234933
25,Missouri,2915277
26,Montana,514545
27,Nebraska,1001268
28,Nevada,1461037
29,New Hampshire,723275
30,New Jersey,4421054
31,New Mexico,907965
32,New York,9434909
33,North Carolina,4937952
34,North Dakota,405490
35,Ohio,5589179
36,Oklahoma,1786689
37,Oregon,2011340
38,Pennsylvania,6179069
39,Rhode Island,536938
40,South Carolina,2357976
41,South Dakota,448247
42,Tennessee,3178187
43,Texas,13715977
44,Vermont,324202
45,Utah,1583586
46,Virginia,4291816
47,Washington,3723697
48,West Virginia,730751
49,Wisconsin,2959481
50,Wyoming,279531
51,Puerto Rico,1022871
