,state,2018
0,Colorado,88231
1,Indiana,61795
2,Kentucky,38690
3,Louisiana,35902
4,Illinois,171445
5,Iowa,47472
6,New Hampshire,18327
7,Arkansas,20052
8,Delaware,10720
9,Minnesota,80543
10,Montana,28187
11,Maine,27056
12,North Carolina,87368
13,Georgia,73027
14,Alaska,27597
15,Alabama,22416
16,Vermont,16920
17,Nevada,25010
18,West Virginia,19114
19,Oklahoma,35111
20,Wisconsin,86491
21,Puerto Rico,20540
22,Virginia,93874
23,North Dakota,13525
24,South Carolina,47618
25,Oregon,78004
26,Wyoming,12127
27,California,489073
28,Mississippi,16692
29,Connecticut,47111
30,Texas,195470
31,Maryland,64267
32,Florida,130643
33,Massachusetts,181070
34,District of Columbia,50327
35,Utah,36626
36,New York,555976
37,New Jersey,112666
38,Ohio,121772
39,Missouri,59060
40,Pennsylvania,216820
41,Michigan,104812
42,Nebraska,24350
43,Idaho,19701
44,New Mexico,15686
45,Hawaii,25879
46,South Dakota,12744
47,Washington,134410
48,Rhode Island,17903
49,Arizona,55276
50,Tennessee,40058
51,Kansas,31124
