,state,2019
0,Illinois,116303
1,Georgia,96979
2,Idaho,13875
3,Hawaii,19498
4,Indiana,44414
5,Iowa,18691
6,Kansas,14433
7,Kentucky,28600
8,Louisiana,37751
9,Maine,8400
10,Maryland,51149
11,Massachusetts,81179
12,Michigan,59201
13,Minnesota,49535
14,Connecticut,21943
15,Florida,253189
16,Alabama,23984
17,Alaska,19865
18,Arizona,83540
19,Arkansas,13591
20,California,482036
21,Colorado,66817
22,Delaware,4695
23,District of Columbia,25398
24,Mississippi,21765
25,Missouri,36407
26,Montana,11842
27,Nebraska,10459
28,Nevada,41940
29,New Hampshire,8625
30,New Jersey,88520
31,New Mexico,16242
32,New York,212662
33,North Carolina,72844
34,North Dakota,6042
35,Ohio,69189
36,Oklahoma,28006
37,Oregon,65628
38,Pennsylvania,100033
39,Rhode Island,7316
40,South Carolina,36571
41,South Dakota,7199
42,Tennessee,45496
43,Texas,215544
44,Vermont,4130
45,Utah,24923
46,Virginia,83518
47,Washington,75506
48,West Virginia,9950
49,Wisconsin,44464
50,Wyoming,4837
51,Puerto Rico,16228
